defined_class	defined_class_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/MGPO_0002210	abnormal N-glycan chain level	http://purl.obolibrary.org/obo/CHEBItemp_0002135	N-glycan chain
http://purl.obolibrary.org/obo/MGPO_0002210	abnormal N-glycan levels	http://purl.obolibrary.org/obo/CHEBItemp_0002135	N-glycan chain
http://purl.obolibrary.org/obo/MGPO_0002219	abnormal O-glycan chain level	http://purl.obolibrary.org/obo/CHEBItemp_0002136	O-glycan chain
http://purl.obolibrary.org/obo/MGPO_0002219	abnormal O-glycan levels	http://purl.obolibrary.org/obo/CHEBItemp_0002136	O-glycan chain
http://purl.obolibrary.org/obo/MGPO_0002211	abnormal free glycan level	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan
http://purl.obolibrary.org/obo/MGPO_0002211	abnormal free glycan levels	http://purl.obolibrary.org/obo/CHEBItemp_0002143	free glycan
http://purl.obolibrary.org/obo/MGPO_0002002	abnormal glycan level	http://purl.obolibrary.org/obo/CHEBItemp_0002131	glycan
http://purl.obolibrary.org/obo/MGPO_0002002	abnormal glycan levels	http://purl.obolibrary.org/obo/CHEBItemp_0002131	glycan
http://purl.obolibrary.org/obo/MGPO_0002106	abnormal glyco-amino acid level	http://purl.obolibrary.org/obo/CHEBI_35258	glyco-amino acid
http://purl.obolibrary.org/obo/MGPO_0002189	abnormal glyco-conjugate level	http://purl.obolibrary.org/obo/CHEBItemp_0002148	glyco-conjugate
http://purl.obolibrary.org/obo/MGPO_0002189	abnormal glyco-conjugate levels	http://purl.obolibrary.org/obo/CHEBItemp_0002148	glyco-conjugate
http://purl.obolibrary.org/obo/MGPO_0002106	abnormal glycoaminoacid levels	http://purl.obolibrary.org/obo/CHEBI_35258	glyco-amino acid
http://purl.obolibrary.org/obo/MGPO_0002234	abnormal glycopeptide level	http://purl.obolibrary.org/obo/CHEBI_24396	glycopeptide
http://purl.obolibrary.org/obo/MGPO_0002234	abnormal glycopeptide levels	http://purl.obolibrary.org/obo/CHEBI_24396	glycopeptide
http://purl.obolibrary.org/obo/MGPO_0002233	abnormal glycoprotein level	http://purl.obolibrary.org/obo/CHEBI_17089	glycoprotein
http://purl.obolibrary.org/obo/MGPO_0002233	abnormal glycoprotein levels	http://purl.obolibrary.org/obo/CHEBI_17089	glycoprotein
